Designação da instituição,Distrito,Concelho,Modalidade Desportiva,Federação Desportiva,Variante,Edição,Homens,Mulheres
Moura Desportos Clube,Beja,Moura,Patinagem_Hóquei em Patins,Patinagem,Hóquei em Patins,2012 / 2013,15,0
Moura Desportos Clube,Beja,Moura,Patinagem_Patinagem Artística,Patinagem,Patinagem Artística,2012 / 2013,1,25
Moura Volei Clube,Beja,Moura,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,44,16
Movimento Amigos de Santa Comba de Fornelos,Braga,Fafe,Petanca_Petanca,Petanca,Petanca,2012 / 2013,9,0
Movimento Associativo de Recreio Cultura e Arte,Braga,Barcelos,Andebol_Andebol,Andebol,Andebol,2012 / 2013,13,0
Movimento Associativo de Recreio Cultura e Arte,Braga,Barcelos,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,117,0
Movimento Associativo de Recreio Cultura e Arte,Braga,Barcelos,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,17,0
Movimento de Apoio de Pais e Amigos ao Diminuido Intelectual,Porto,Póvoa de Varzim,FPDD_FPDD,FPDD,FPDD,2012 / 2013,13,2
Movimento Juventude da Póvoa,Braga,Braga,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,25,0
Movimento Juventude de Merelim,Braga,Braga,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,22,2
Movimento Voluntário Desportivo,Leiria,Caldas da Rainha,Tiro com Arco_Tiro com Arco,Tiro com Arco,Tiro com Arco,2012 / 2013,10,0
Multidesportos Clube de Portimão,Faro,Portimão,Ginástica_Ginástica Acrobática,Ginástica,Ginástica Acrobática,2012 / 2013,3,22
Multidesportos Clube de Portimão,Faro,Portimão,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,11,38
Multidesportos Clube de Portimão,Faro,Portimão,Ginástica_Ginástica Team Gym,Ginástica,Ginástica Team Gym,2012 / 2013,3,22
Multidesportos Clube de Portimão,Faro,Portimão,Ginástica_Ginastica Trampolins,Ginástica,Ginastica Trampolins,2012 / 2013,1,0
Multigym Fitness Club,Setúbal,Setúbal,Kickboxing e Muaythai_Kickboxing e Muaythai,Kickboxing e Muaythai,Kickboxing e Muaythai,2012 / 2013,13,2
Municipalia - Gestão Equipamentos e Património do Município de Odivelas,Lisboa,Odivelas,Kickboxing e Muaythai_Kickboxing e Muaythai,Kickboxing e Muaythai,Kickboxing e Muaythai,2012 / 2013,51,16
Municipio de Freixo de Espada à Cinta,Bragança,Freixo de Espada à Cinta,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,13,10
Municipio de Macedo de Cavaleiros - Pólo 2,Bragança,Macedo de Cavaleiros,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,38,54
Municipio de Miranda do Douro,Bragança,Miranda do Douro,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,0
Municipio de Reguengos de Monsaraz,Évora,Reguengos de Monsaraz,Equestre_Equestre,Equestre,Equestre,2012 / 2013,1,5
Municipio de Resende,Viseu,Resende,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,5,4
Município de Vagos,Aveiro,Vagos,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,24,328
MyCenter - Sports & Wellness,Faro,Faro,Ténis_Ténis,Ténis,Ténis,2012 / 2013,3,0
Nã Drome - Clube de BTT do Sudoeste,Beja,Odemira,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,2,0
NAST - Núcleo Associativo de Santo Tirso,Porto,Santo Tirso,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,12,0
Natação Clube de Chaves,Vila Real,Chaves,Natação_Águas Abertas,Natação,Águas Abertas,2012 / 2013,1,0
Natação Clube de Chaves,Vila Real,Chaves,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,16,12
NaturAndaBTT,Porto,Matosinhos,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,14,0
Náutica Desportiva Ovarense,Aveiro,Ovar,Vela_Vela,Vela,Vela,2012 / 2013,8,1
Navigators Sports Club,Lisboa,Lisboa,Ginástica_Ginástica Acrobática,Ginástica,Ginástica Acrobática,2012 / 2013,18,88
Navigators Sports Club,Lisboa,Lisboa,Judo_Judo,Judo,Judo,2012 / 2013,8,3
Navigators Sports Club,Lisboa,Lisboa,Ténis_Ténis,Ténis,Ténis,2012 / 2013,29,8
NBT Explosion,Porto,Póvoa de Varzim,Ténis_Ténis,Ténis,Ténis,2012 / 2013,18,5
Negrilhos Futebol Clube,Beja,Aljustrel,Futebol_Futebol 11,Futebol,Futebol 11,s/d,0,0
Neijia - Associação de Artes Orientais,Lisboa,Lisboa,Artes Marciais Chinesas_Artes Marciais Chinesas,Artes Marciais Chinesas,Artes Marciais Chinesas,2012 / 2013,21,4
Nespereira Futebol Clube,Viseu,Cinfães,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,23,0
Nespereira Futebol Clube,Viseu,Cinfães,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,12,0
Neves Futebol Clube,Viana do Castelo,Viana do Castelo,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,69,0
