Designação da instituição,Distrito,Concelho,Modalidade Desportiva,Federação Desportiva,Variante,Edição,Homens,Mulheres
"""O Calipolense"" Clube Desportivo de Vila Viçosa",Évora,Vila Viçosa,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,88,0
"""O Calipolense"" Clube Desportivo de Vila Viçosa",Évora,Vila Viçosa,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,32,0
"""O Elvas"" Clube Alentejano de Desportos",Portalegre,Elvas,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,29,2
"""O Elvas"" Clube Alentejano de Desportos",Portalegre,Elvas,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,105,0
"""O Elvas"" Clube Alentejano de Desportos",Portalegre,Elvas,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,122,0
"""Os Galfarritos"" Academia de Futebol",Viseu,Tondela,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,56,1
"""Os Independentes"" Futsal Associação",Setúbal,Sines,Futebol_Futsal,Futebol,Futsal,2012 / 2013,34,0
.COM - Clube de Orientação do Minho,Braga,Braga,Orientação_Orientação,Orientação,Orientação,2012 / 2013,65,39
100 % TT Núcleo de Cicloturismo de Alpiarça,Santarém,Alpiarça,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,36,0
100 Conceitos Unipessoal Lda.,Leiria,Leiria,Equestre_Equestre,Equestre,Equestre,2012 / 2013,7,11
100 Trilhos - Clube BTT de Castro Verde,Beja,Castro Verde,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,4,0
1º de Maio Futebol Clube Sarilhense,Setúbal,Moita,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,31,0
1º de Maio Futebol Clube Sarilhense,Setúbal,Moita,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,45,0
1º Jardim Escola João de Deus,Coimbra,Coimbra,Judo_Judo,Judo,Judo,2012 / 2013,43,9
2010 Odisseia Basket Clube,Lisboa,Lisboa,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,55,6
2º Jardim Escola João de Deus,Coimbra,Coimbra,Judo_Judo,Judo,Judo,2012 / 2013,26,9
3 A - Associação de Andebol de Almeirim,Santarém,Almeirim,Andebol_Andebol,Andebol,Andebol,2012 / 2013,45,27
A Fontes - Renault,Aveiro,Oliveira de Azeméis,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,5,0
A Perdiz - Associação Escola de Tiro Desportivo,Beja,Serpa,Tiro com Armas de Caça_Tiro com Armas de Caça,Tiro com Armas de Caça,Tiro com Armas de Caça,2012 / 2013,19,0
A Portuguesa de Leça Futebol Clube,Porto,Matosinhos,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,6,0
A Portuguesa de Leça Futebol Clube,Porto,Matosinhos,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,8,0
A R J - Bike Team,Porto,Marco de Canaveses,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,9,0
A Turma dos Judokinhas - Associação Desportiva,Lisboa,Sintra,Judo_Judo,Judo,Judo,2012 / 2013,114,36
AB Rafik Hacamo,Lisboa,Odivelas,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,12,0
Abambres Sport Clube,Vila Real,Vila Real,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,113,0
Abambres Sport Clube,Vila Real,Vila Real,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,77,0
ABC de Braga - Andebol SAD,Braga,Braga,Andebol_Andebol,Andebol,Andebol,2012 / 2013,189,1
Abrantes Rugby Clube,Santarém,Abrantes,Rugby_Rugby,Rugby,Rugby,2012 / 2013,18,0
Academia - Associação Desportiva Caranguejeira,Leiria,Leiria,Futebol_Futsal,Futebol,Futsal,2012 / 2013,34,16
Academia 3 de Junho - Escola Profissional Agostinho Silva,Lisboa,Sintra,Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,6,0
Academia 7 'Eight,Porto,Gondomar,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,17,4
Academia 77,Porto,Porto,Boxe_Boxe,Boxe,Boxe,2012 / 2013,1,0
Academia Art & Dança - Ideias aos Pulos Lda.,Lisboa,Alenquer,Ginástica_Ginástica Fitness,Ginástica,Ginástica Fitness,2012 / 2013,2,12
Academia Best Club,Porto,Vila Nova de Gaia,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,3,0
Academia CantanhedeGym,Coimbra,Cantanhede,Ginástica_Ginástica Aeróbica,Ginástica,Ginástica Aeróbica,2012 / 2013,10,68
Academia CantanhedeGym,Coimbra,Cantanhede,Ginástica_Ginástica Artística,Ginástica,Ginástica Artística,2012 / 2013,9,60
Academia CantanhedeGym,Coimbra,Cantanhede,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,0,70
Academia Clube Desportivo de Corroios,Setúbal,Seixal,Futebol_Futebol 7,Futebol,Futebol 7,s/d,0,0
Academia da Força Aérea,Lisboa,Sintra,FADU_FADU,FADU,FADU,2012 / 2013,25,5
Academia de Artes Marciais do Guadiana,Faro,Vila Real Santo António,Judo_Judo,Judo,Judo,2012 / 2013,12,7
Academia de Atletismo do Seixal,Setúbal,Seixal,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,19,9
Academia de Badminton Tetrapi,Açores,Ponta Delgada,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,8,0
Academia de Bilhar de Gondivai,Porto,Matosinhos,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,8,0
Academia de Bilhar de Salão de Jogos JJJ,Madeira,Santa Cruz,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,16,0
Academia de Boxe da Maia,Porto,Maia,Boxe_Boxe,Boxe,Boxe,2012 / 2013,3,0
Academia de Bridge de Lisboa,Lisboa,Lisboa,Bridge_Bridge,Bridge,Bridge,2012 / 2013,16,22
Academia de Esgrima João Gomes,Lisboa,Amadora,Esgrima_Esgrima,Esgrima,Esgrima,2012 / 2013,28,13
Academia de Futebol B7,Braga,Braga,Futebol_Futsal,Futebol,Futsal,s/d,0,0
Academia de Futebol de Amares,Braga,Amares,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,12,0
Academia de Futebol de Amares,Braga,Amares,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,12,0
Academia de Futebol de Ponte de Lima,Viana do Castelo,Ponte de Lima,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,56,0
Academia de Ginastica de Sines,Setúbal,Sines,Ginástica_Ginastica Trampolins,Ginástica,Ginastica Trampolins,2012 / 2013,22,56
Academia de Ginástica Rítmica - Aveirogym,Aveiro,Aveiro,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,0,41
Academia de Ginástica Rítmica - Aveirogym,Aveiro,Aveiro,Ginástica_Ginástica Rítmica,Ginástica,Ginástica Rítmica,2012 / 2013,0,37
Academia de Instrução e Recreio Familiar Almadense,Setúbal,Almada,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,9,28
Academia de Instrução e Recreio Familiar Almadense,Setúbal,Almada,Judo_Judo,Judo,Judo,2012 / 2013,18,2
Academia de Judo da Amadora,Lisboa,Amadora,Judo_Judo,Judo,Judo,2012 / 2013,19,9
Academia de Judo de Castelo Branco,Castelo Branco,Castelo Branco,Judo_Judo,Judo,Judo,2012 / 2013,87,21
Academia de Judo do Sul,Faro,Silves,Judo_Judo,Judo,Judo,2012 / 2013,2,0
Academia de Patinagem de Guimarães,Braga,Guimarães,Patinagem_Patinagem Artística,Patinagem,Patinagem Artística,2012 / 2013,6,62
Academia de Patinagem do Marco,Porto,Marco de Canaveses,Patinagem_Patinagem Artística,Patinagem,Patinagem Artística,2012 / 2013,2,32
Academia de Ténis de Almada,Setúbal,Almada,Ténis_Ténis,Ténis,Ténis,2012 / 2013,6,1
Academia de Ténis de Espinho,Aveiro,Espinho,Ténis_Ténis,Ténis,Ténis,2012 / 2013,37,12
Academia de Ténis de Portalegre,Portalegre,Portalegre,Ténis_Ténis,Ténis,Ténis,2012 / 2013,16,3
Academia de Ténis de Valongo,Porto,Valongo,Ténis_Ténis,Ténis,Ténis,2012 / 2013,12,0
Academia de Ténis Eduardo Beldade,Faro,Loulé,Ténis_Ténis,Ténis,Ténis,2012 / 2013,9,1
Academia de Ténis Parque,Setúbal,Barreiro,Ténis_Ténis,Ténis,Ténis,2012 / 2013,20,1
Academia de Ténis Senhora da Hora,Porto,Matosinhos,Ténis_Ténis,Ténis,Ténis,2012 / 2013,14,4
Academia de Ténis Venda do Alcaide,Setúbal,Palmela,Ténis_Ténis,Ténis,Ténis,2012 / 2013,30,14
Academia de Xadrez de Barcelos,Braga,Barcelos,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,14,1
Academia de Xadrez de Espinho,Aveiro,Espinho,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,7,2
Academia de Xadrez de Gaia,Porto,Vila Nova de Gaia,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,56,2
Academia de Xadrez do Algarve,Faro,Faro,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,15,0
Academia de Xadrez do Bombarral/ CCMB,Leiria,Bombarral,Damas_Damas,Damas,Damas,s/d,0,0
Academia de Xadrez do Bombarral/ CCMB,Leiria,Bombarral,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,14,1
Academia de Xadrez Mamede Diogo,Lisboa,Lourinhã,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,15,1
Academia de Xadrez Pedro Hispano,Coimbra,Soure,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,46,26
Academia Desportiva da Casa do Povo dos Biscoitos,Açores,Praia da Vitória,Futebol_Futsal,Futebol,Futsal,2012 / 2013,43,25
Academia Desportiva dos Açores,Açores,Praia da Vitória,Basquetebol_Basquetebol,Basquetebol,Basquetebol,s/d,0,0
Academia Desportiva e Artística Colégio João de Barros,Leiria,Pombal,Andebol_Andebol,Andebol,Andebol,2012 / 2013,0,52
Academia Desportiva e Cultural da Praia da Falésia,Faro,Albufeira,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,2,17
Academia Desportiva Infantil e Juvenil do Bairro de Miranda,Setúbal,Montijo,Futebol_Futsal,Futebol,Futsal,2012 / 2013,69,12
Academia Elite Sport,Braga,Vila Nova de Famalicão,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,14,0
Academia Elite Sport,Braga,Vila Nova de Famalicão,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,31,0
Academia Equestre João Cardiga - Associação,Lisboa,Oeiras,Equestre_Equestre,Equestre,Equestre,2012 / 2013,41,63
Academia Fit Place,Lisboa,Sintra,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,6,0
Academia Gimnodesportiva de Samora Correia,Santarém,Benavente,Ginástica_Ginástica Acrobática,Ginástica,Ginástica Acrobática,2012 / 2013,6,24
Academia Gimnodesportiva de Samora Correia,Santarém,Benavente,Ginástica_Ginastica Trampolins,Ginástica,Ginastica Trampolins,2012 / 2013,1,4
Academia Invictus,Aveiro,Santa Maria da Feira,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,14,4
Academia Lacatoni,Braga,Braga,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,14,0
Academia Lacatoni,Braga,Braga,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,13,0
Academia Little Dragon,Porto,Porto,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,11,9
Academia Maia/ Brenha Associação Desportiva,Porto,Porto,Voleibol_Voleibol,Voleibol,Voleibol,s/d,0,0
Academia Militar,Lisboa,Lisboa,Esgrima_Esgrima,Esgrima,Esgrima,2012 / 2013,7,0
Academia Militar,Lisboa,Lisboa,FADU_FADU,FADU,FADU,2012 / 2013,58,10
Academia Movisport,Setúbal,Setúbal,Kickboxing e Muaythai_Kickboxing e Muaythai,Kickboxing e Muaythai,Kickboxing e Muaythai,2012 / 2013,53,18
Academia Musical 1.º de Junho de 1893,Lisboa,Lisboa,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,48,0
Academia Musical 1.º de Junho de 1893,Lisboa,Lisboa,Orientação_Orientação,Orientação,Orientação,2012 / 2013,4,1
Academia Musical e Recreativa 8 de Janeiro,Setúbal,Moita,Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,14,0
Academia Paloco's,Lisboa,Sintra,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,8,0
Academia Portuguesa de Tiro,Setúbal,Moita,Tiro_Tiro,Tiro,Tiro,2012 / 2013,15,0
Academia Questão de Corpo,Lisboa,Odivelas,Boxe_Boxe,Boxe,Boxe,2012 / 2013,12,0
Academia Questão de Corpo,Lisboa,Odivelas,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,15,10
Academia Recreativa da Ajuda,Lisboa,Lisboa,Ginástica_Ginástica Fitness,Ginástica,Ginástica Fitness,2012 / 2013,4,11
Academia Recreativa de Linda-a-Velha,Lisboa,Oeiras,Kickboxing e Muaythai_Kickboxing e Muaythai,Kickboxing e Muaythai,Kickboxing e Muaythai,2012 / 2013,40,11
"Academia Recreativa e Cultural ""Amigos de Ponte""",Braga,Guimarães,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,3,0
"Academia Recreativa e Cultural ""Amigos de Ponte""",Braga,Guimarães,Judo_Judo,Judo,Judo,2012 / 2013,34,4
Academia Rugby Clube de Setúbal,Setúbal,Setúbal,Rugby_Rugby,Rugby,Rugby,2012 / 2013,24,0
Academia Rugby Clube de Setúbal,Setúbal,Setúbal,Rugby_Rugby 13,Rugby,Rugby 13,s/d,0,0
Academia Rugby Clube de Setúbal,Setúbal,Setúbal,Rugby_Rugby 7,Rugby,Rugby 7,s/d,0,0
Academia Sporting Turcifal - Associação Desportiva e Cultural,Lisboa,Torres Vedras,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,78,0
Academia Sporting Turcifal - Associação Desportiva e Cultural,Lisboa,Torres Vedras,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,64,0
Academia Ténis João Marques,Setúbal,Almada,Ténis_Ténis,Ténis,Ténis,2012 / 2013,43,12
Academia Ubuntu Rugby,Lisboa,Lisboa,Rugby_Rugby,Rugby,Rugby,s/d,0,0
Academia X-Treme,Setúbal,Almada,Kickboxing e Muaythai_Kickboxing e Muaythai,Kickboxing e Muaythai,Kickboxing e Muaythai,2012 / 2013,8,1
Académica de Gondomar de Patinagem Artística,Porto,Gondomar,Patinagem_Patinagem Artística,Patinagem,Patinagem Artística,2012 / 2013,6,38
Académico Alves Roçadas - Associação Desportiva Recreativa e Cultural,Vila Real,Vila Real,Futebol_Futsal,Futebol,Futsal,2012 / 2013,0,15
Académico Amarante Sport Clube,Porto,Amarante,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,69,0
Académico Amarante Sport Clube,Porto,Amarante,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,14,0
Académico Basket Clube de Nelas,Viseu,Nelas,Andebol_Andebol,Andebol,Andebol,2012 / 2013,33,1
Académico Basket Clube de Nelas,Viseu,Nelas,Futebol_Futsal,Futebol,Futsal,2012 / 2013,115,2
Académico Clube de Ciências,Lisboa,Lisboa,Futebol_Futsal,Futebol,Futsal,2012 / 2013,123,0
Académico Clube Desportivo do Funchal,Madeira,Funchal,Andebol_Andebol,Andebol,Andebol,2012 / 2013,108,57
Académico Clube Recreativo e Cultural de Gondivai,Porto,Matosinhos,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,6,1
Académico de Santa Lúzia,Açores,Angra do Heroísmo,Futebol_Futsal,Futebol,Futsal,2012 / 2013,23,0
Académico de Torres Vedras,Lisboa,Torres Vedras,Orientação_Orientação,Orientação,Orientação,2012 / 2013,39,15
Académico de Torres Vedras,Lisboa,Torres Vedras,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,11,0
Académico de Viseu Futebol Clube,Viseu,Viseu,Andebol_Andebol,Andebol,Andebol,2012 / 2013,82,2
Académico de Viseu Futebol Clube,Viseu,Viseu,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,4,0
Académico de Viseu Futebol Clube,Viseu,Viseu,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,132,0
Académico de Viseu Futebol Clube,Viseu,Viseu,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,89,0
Académico de Viseu Futebol Clube,Viseu,Viseu,Natação_Águas Abertas,Natação,Águas Abertas,2012 / 2013,7,6
Académico de Viseu Futebol Clube,Viseu,Viseu,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,58,31
Académico de Viseu Futebol Clube,Viseu,Viseu,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,14,0
Académico Desportivo de Fornelos,Viseu,Cinfães,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,23,0
Académico Futebol Clube (Porto),Porto,Porto,Andebol_Andebol,Andebol,Andebol,2012 / 2013,114,45
Académico Futebol Clube (Porto),Porto,Porto,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,136,69
Académico Futebol Clube (Porto),Porto,Porto,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,7,0
Académico Futebol Clube (Porto),Porto,Porto,Patinagem_Hóquei em Patins,Patinagem,Hóquei em Patins,2012 / 2013,72,5
Académico Futebol Clube (Porto),Porto,Porto,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,7,4
Académico Futebol Clube de Martim,Braga,Barcelos,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,132,0
Académico Futebol Clube de Martim,Braga,Barcelos,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,16,0
Académico Marítimo Madeira Andebol SAD,Madeira,Funchal,Andebol_Andebol,Andebol,Andebol,2012 / 2013,100,0
Ace Team,Lisboa,Amadora,Ténis_Ténis,Ténis,Ténis,2012 / 2013,75,20
Achada Futebol Clube,Açores,Nordeste,Futebol_Futsal,Futebol,Futsal,2012 / 2013,24,1
ACME - Associação Membros de Golfe,Faro,Lagos,Golfe_Golfe,Golfe,Golfe,2012 / 2013,24,8
Açores Ténis,Açores,Ponta Delgada,Ténis_Ténis,Ténis,Ténis,2012 / 2013,37,37
ACOS - Associação de Criadores de Ovinos do Sul,Beja,Beja,Equestre_Equestre,Equestre,Equestre,2012 / 2013,4,3
ACR Frade de Cima,Santarém,Alpiarça,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,5,1
Acro Clube da Maia,Porto,Maia,Ginástica_Ginástica Acrobática,Ginástica,Ginástica Acrobática,2012 / 2013,11,75
Acro Clube da Maia,Porto,Maia,Ginástica_Ginástica Artística,Ginástica,Ginástica Artística,2012 / 2013,1,13
Acro Clube da Maia,Porto,Maia,Ginástica_Ginastica Trampolins,Ginástica,Ginastica Trampolins,2012 / 2013,6,4
Acrogym Clube de Coimbra,Coimbra,Coimbra,Ginástica_Ginástica Acrobática,Ginástica,Ginástica Acrobática,2012 / 2013,11,116
Acrogym Clube de Coimbra,Coimbra,Coimbra,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,0,2
Acrogym Clube de Coimbra,Coimbra,Coimbra,Ginástica_Ginástica Team Gym,Ginástica,Ginástica Team Gym,2012 / 2013,0,1
Acromix Camarate Clube,Lisboa,Loures,Ginástica_Ginástica Acrobática,Ginástica,Ginástica Acrobática,2012 / 2013,10,37
Acromix Camarate Clube,Lisboa,Loures,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,2,38
Acromix Camarate Clube,Lisboa,Loures,Ginástica_Ginástica Team Gym,Ginástica,Ginástica Team Gym,2012 / 2013,0,4
Acromix Camarate Clube,Lisboa,Loures,Ginástica_Ginastica Trampolins,Ginástica,Ginastica Trampolins,2012 / 2013,4,1
ACROSIM - Associação Desportiva de Pombal,Leiria,Pombal,Ginástica_Ginástica Acrobática,Ginástica,Ginástica Acrobática,2012 / 2013,8,35
Acrotramp Clube das Caldas,Leiria,Caldas da Rainha,Ginástica_Ginastica Trampolins,Ginástica,Ginastica Trampolins,2012 / 2013,18,28
Active Life PT - BCC,Lisboa,Sintra,Ténis_Ténis,Ténis,Ténis,2012 / 2013,13,8
ADPLPBTT - Amigos do Pedal Lagares Clube,Porto,Penafiel,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,66,0
ADS Maia,Porto,Maia,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,9,0
ADUFA - Associação Desportiva Unificada Famalicense,Braga,Vila Nova de Famalicão,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,8,0
Advanced Training Sport Club,Porto,Amarante,Futebol_Futebol 7,Futebol,Futebol 7,s/d,0,0
Aero Clube da Costa Verde - Centro Hípico de Espinho,Aveiro,Espinho,Equestre_Equestre,Equestre,Equestre,2012 / 2013,0,3
Afim de BTT,Braga,Vila Nova de Famalicão,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,36,0
AGC - Algarve Golfe Clube,Faro,Vila Real Santo António,Golfe_Golfe,Golfe,Golfe,2012 / 2013,52,15
"Agrupamento ""A Ribeirinha"" - Escola EB1 de Farilhe - Canidelo",Porto,Vila do Conde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,5
"Agrupamento ""A Ribeirinha"" - Escola EB1 de Fornelo",Porto,Vila do Conde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,12
"Agrupamento ""A Ribeirinha"" - Escola EB1 de Gião",Aveiro,Santa Maria da Feira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,6
"Agrupamento ""A Ribeirinha"" - Escola EB1 de Lente",Porto,Vila do Conde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,4
"Agrupamento ""A Ribeirinha"" - Escola EB1 de Loureiro-Árvore",Aveiro,Oliveira de Azeméis,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,13
"Agrupamento ""A Ribeirinha"" - Escola EB1 de Malta",Porto,Vila do Conde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,8
"Agrupamento ""A Ribeirinha"" - Escola EB1 de Parada",Porto,Vila do Conde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,10
"Agrupamento ""A Ribeirinha"" - Escola EB1 de Vairão",Porto,Vila do Conde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,5
"Agrupamento ""A Ribeirinha"" - Escola EB1 Gonçalo Mendes Maia",Porto,Vila do Conde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,1
"Agrupamento ""A Ribeirinha"" - Escola EB1 Macieira",Porto,Vila do Conde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,6
"Agrupamento ""A Ribeirinha"" - Escola EB1/ Jardim de Infância de Quintã - Fajozes",Porto,Vila do Conde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,1
Agrupamento D. Antonio Ferreira Gomes,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,13,9
Agrupamento das Escolas de Alcochete - Escola Secundária de Alcochete,Setúbal,Alcochete,Esgrima_Esgrima,Esgrima,Esgrima,2012 / 2013,8,10
Agrupamento de Dinamização Cultural e Recreativo,Braga,Fafe,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,23,0
Agrupamento de Escolas Abade de Baçal,Bragança,Bragança,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,34,53
Agrupamento de Escolas Afonso Albuquerque - Escola EB1 Adães Bermudes,Guarda,Guarda,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,15,26
Agrupamento de Escolas Afonso Albuquerque - Escola EB1 Augusto Gil,Guarda,Guarda,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,9,2
Agrupamento de Escolas Afonso Albuquerque - Escola EB1 de Espirito Santo,Guarda,Guarda,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,12,10
Agrupamento de Escolas Afonso Albuquerque - Escola EB1 de Lameirinhas,Guarda,Guarda,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,10,12
Agrupamento de Escolas Afonso Albuquerque - Escola EB1 de Santat Zita,Guarda,Guarda,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,18,19
Agrupamento de Escolas Afonso Albuquerque - Escola EB1 do Bonfim,Guarda,Guarda,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,7
Agrupamento de Escolas Afonso Albuquerque - Escola EB1 Famalicão Serra,Guarda,Guarda,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,6,4
Agrupamento de Escolas Anes de Cernache,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,11,11
Agrupamento de Escolas Cidade de Castelo Branco,Castelo Branco,Castelo Branco,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,2,28
Agrupamento de Escolas Conde Ourém,Santarém,Ourém,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,40,28
Agrupamento de Escolas D. Pedro I,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,13,9
Agrupamento de Escolas da Batalha,Leiria,Batalha,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,17,23
Agrupamento de Escolas da Cordinha - Escola EB1 da Cordinha,Coimbra,Cantanhede,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,14,16
Agrupamento de Escolas da Madalena,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,28,26
Agrupamento de Escolas da Sé - Escola EB1 de Alfarazes,Guarda,Guarda,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,1,5
Agrupamento de Escolas da Vidigueira,Beja,Vidigueira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,11,12
Agrupamento de Escolas Damião de Goes,Lisboa,Alenquer,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,7,8
Agrupamento de Escolas das Taipas,Braga,Guimarães,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,58,53
Agrupamento de Escolas de Águas Santas - Escola EB1 de Gandra,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,39,57
Agrupamento de Escolas de Águas Santas - Escola EB1 de Granja,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,8
Agrupamento de Escolas de Águas Santas - Escola EB1 de Moutidos,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,19,24
Agrupamento de Escolas de Águas Santas - Escola EB1 de Pícua,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,28,41
Agrupamento de Escolas de Alcanena,Santarém,Alcanena,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,34,30
Agrupamento de Escolas de Almodôvar,Beja,Almodôvar,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,75,70
